artist_id,artist_genres
2ye2Wgw4gimLv2eAKyk1NB,metal
2ye2Wgw4gimLv2eAKyk1NB,old school thrash
2ye2Wgw4gimLv2eAKyk1NB,rock
2ye2Wgw4gimLv2eAKyk1NB,thrash metal
2NOhotupwYbKRNJF7LMDPG,blues rock
2NOhotupwYbKRNJF7LMDPG,garage rock
2NOhotupwYbKRNJF7LMDPG,punk blues
41ZMMuFFLPTVPkUsSI5KlV,blues
41ZMMuFFLPTVPkUsSI5KlV,chicago blues
41ZMMuFFLPTVPkUsSI5KlV,harmonica blues
41ZMMuFFLPTVPkUsSI5KlV,traditional blues
5lkiCO9UQ8B23dZ1o0UV4m,album rock
5lkiCO9UQ8B23dZ1o0UV4m,classic rock
5lkiCO9UQ8B23dZ1o0UV4m,country rock
5lkiCO9UQ8B23dZ1o0UV4m,folk
5lkiCO9UQ8B23dZ1o0UV4m,folk rock
5lkiCO9UQ8B23dZ1o0UV4m,heartland rock
5lkiCO9UQ8B23dZ1o0UV4m,mellow gold
5lkiCO9UQ8B23dZ1o0UV4m,piano rock
5lkiCO9UQ8B23dZ1o0UV4m,singer-songwriter
5lkiCO9UQ8B23dZ1o0UV4m,soft rock
7FW2qwsY0zLV9GppWatQ5P,modern indie folk
3qkZBMz5JgmRN9u5wwhRC6,alternative country
3qkZBMz5JgmRN9u5wwhRC6,heartland rock
4WPY0N74T3KUja57xMQTZ3,alternative rock
4WPY0N74T3KUja57xMQTZ3,permanent wave
4WPY0N74T3KUja57xMQTZ3,post-punk
4WPY0N74T3KUja57xMQTZ3,power pop
4WPY0N74T3KUja57xMQTZ3,punk
4WPY0N74T3KUja57xMQTZ3,singer-songwriter
33EUXrFKGjpUSGacqEHhU4,alternative rock
33EUXrFKGjpUSGacqEHhU4,glam rock
33EUXrFKGjpUSGacqEHhU4,permanent wave
33EUXrFKGjpUSGacqEHhU4,protopunk
33EUXrFKGjpUSGacqEHhU4,rock
52uMkSFt2RVO6XxTEt5VeW,chicago soul
52uMkSFt2RVO6XxTEt5VeW,classic soul
52uMkSFt2RVO6XxTEt5VeW,northern soul
52uMkSFt2RVO6XxTEt5VeW,southern soul
3t58jfUhoMLYVO14XaUFLA,avant-garde jazz
3t58jfUhoMLYVO14XaUFLA,contemporary post-bop
3t58jfUhoMLYVO14XaUFLA,jazz
3t58jfUhoMLYVO14XaUFLA,jazz fusion
3t58jfUhoMLYVO14XaUFLA,jazz guitar
0QJIPDAEDILuo8AIq3pMuU,escape room
0QJIPDAEDILuo8AIq3pMuU,indietronica
0QJIPDAEDILuo8AIq3pMuU,neo-synthpop
0QJIPDAEDILuo8AIq3pMuU,new rave
0k17h0D3J5VfsdmQ1iZtE9,album rock
0k17h0D3J5VfsdmQ1iZtE9,art rock
0k17h0D3J5VfsdmQ1iZtE9,classic rock
0k17h0D3J5VfsdmQ1iZtE9,progressive rock
0k17h0D3J5VfsdmQ1iZtE9,psychedelic rock
0k17h0D3J5VfsdmQ1iZtE9,rock
0k17h0D3J5VfsdmQ1iZtE9,symphonic rock
7xYxgSJaIf7yOFLmknYX38,acid rock
7xYxgSJaIf7yOFLmknYX38,protopunk
7xYxgSJaIf7yOFLmknYX38,psychedelic rock
29kkCKKGXheHuoO829FxWK,album rock
29kkCKKGXheHuoO829FxWK,classic rock
29kkCKKGXheHuoO829FxWK,glam metal
29kkCKKGXheHuoO829FxWK,hard rock
29kkCKKGXheHuoO829FxWK,mellow gold
29kkCKKGXheHuoO829FxWK,rock
29kkCKKGXheHuoO829FxWK,soft rock
5yV1qdnmxyIYiSFB02wpDj,chamber pop
5yV1qdnmxyIYiSFB02wpDj,indie rock
5yV1qdnmxyIYiSFB02wpDj,indietronica
5yV1qdnmxyIYiSFB02wpDj,seattle indie
22ojy4H4ZVpowC4lRRC8In,art pop
22ojy4H4ZVpowC4lRRC8In,chamber pop
22ojy4H4ZVpowC4lRRC8In,indie rock
22ojy4H4ZVpowC4lRRC8In,indietronica
22ojy4H4ZVpowC4lRRC8In,noise pop
22ojy4H4ZVpowC4lRRC8In,vancouver indie
03cwCzIWQ8BRmXjGPDAL04,big band
03cwCzIWQ8BRmXjGPDAL04,harlem renaissance
03cwCzIWQ8BRmXjGPDAL04,jazz blues
03cwCzIWQ8BRmXjGPDAL04,swing
6ZFv3wQwwWPiVDWhv0mjQK,reggae
6ZFv3wQwwWPiVDWhv0mjQK,roots reggae
6ZFv3wQwwWPiVDWhv0mjQK,ska
4ACplpEqD6JIVgKrafauzs,adult standards
4ACplpEqD6JIVgKrafauzs,folk rock
4ACplpEqD6JIVgKrafauzs,mellow gold
4ACplpEqD6JIVgKrafauzs,rock-and-roll
4ACplpEqD6JIVgKrafauzs,rockabilly
4ACplpEqD6JIVgKrafauzs,sunshine pop
3fMbdgg4jU18AjLCKBhRSm,r&b
3fMbdgg4jU18AjLCKBhRSm,soul
2GATzeg62cr6sH29wSOVWe,melancholia
2GATzeg62cr6sH29wSOVWe,slowcore
7C4sUpWGlTy7IANjruj02I,album rock
7C4sUpWGlTy7IANjruj02I,art rock
7C4sUpWGlTy7IANjruj02I,classic rock
7C4sUpWGlTy7IANjruj02I,mellow gold
7C4sUpWGlTy7IANjruj02I,new romantic
7C4sUpWGlTy7IANjruj02I,new wave
7C4sUpWGlTy7IANjruj02I,permanent wave
7C4sUpWGlTy7IANjruj02I,progressive rock
7C4sUpWGlTy7IANjruj02I,rock
7C4sUpWGlTy7IANjruj02I,singer-songwriter
7C4sUpWGlTy7IANjruj02I,soft rock
4xls23Ye9WR9yy3yYMpAMm,blues
4xls23Ye9WR9yy3yYMpAMm,rock-and-roll
4xls23Ye9WR9yy3yYMpAMm,rockabilly
4xls23Ye9WR9yy3yYMpAMm,soul
3iDD7bnsjL9J4fO298r0L0,album rock
3iDD7bnsjL9J4fO298r0L0,classic rock
3iDD7bnsjL9J4fO298r0L0,mellow gold
3iDD7bnsjL9J4fO298r0L0,rock
3iDD7bnsjL9J4fO298r0L0,soft rock
3iDD7bnsjL9J4fO298r0L0,yacht rock
