artist_id,artist_name,artist_popularity,artist_followers
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,75,11169962
3jVMgT4X7YeuYE4aludcmE,Phil Spector,20,27397
4pejUc4iciQfgdX6OKulQn,Queens of the Stone Age,68,3372276
7C4sUpWGlTy7IANjruj02I,Peter Gabriel,62,1615406
5niRbYTYBUDibifKoFfieF,Missy Misdemeanor Elliott,14,738
4xls23Ye9WR9yy3yYMpAMm,Little Richard,54,892292
3iDD7bnsjL9J4fO298r0L0,Chicago,66,3856843
711MCceyCBcFnzjGY4Q7Un,AC/DC,78,27567082
00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult,61,1485938
5BwMgvRwlq61SmknvsVIQj,Rubén Blades,59,1522924
5ixB75BQR3ADoWQkcHQJTs,Gene Autry,50,63955
4oV5EVJ0XFWsJKoOvdRPvl,Guided By Voices,48,166136
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,81,8701701
artist_id,artist_name,artist_popularity,artist_followers
7C4sUpWGlTy7IANjruj02I,Peter Gabriel,62,1615406
5niRbYTYBUDibifKoFfieF,Missy Misdemeanor Elliott,14,738
4xls23Ye9WR9yy3yYMpAMm,Little Richard,54,892292
3iDD7bnsjL9J4fO298r0L0,Chicago,66,3856843
711MCceyCBcFnzjGY4Q7Un,AC/DC,78,27567082
00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult,61,1485938
5BwMgvRwlq61SmknvsVIQj,Rubén Blades,59,1522924
5ixB75BQR3ADoWQkcHQJTs,Gene Autry,50,63955
4oV5EVJ0XFWsJKoOvdRPvl,Guided By Voices,48,166136
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,81,8701701
03hfAxVdAWj7kxDnSG0fLD,The Shadows,45,240886
2ooIqOf4X2uz4mMptXCtie,Neutral Milk Hotel,52,665974
artist_id,artist_name,artist_popularity,artist_followers
7C4sUpWGlTy7IANjruj02I,Peter Gabriel,62,1615406
5niRbYTYBUDibifKoFfieF,Missy Misdemeanor Elliott,14,738
4xls23Ye9WR9yy3yYMpAMm,Little Richard,54,892292
3iDD7bnsjL9J4fO298r0L0,Chicago,66,3856843
711MCceyCBcFnzjGY4Q7Un,AC/DC,78,27567082
00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult,61,1485938
5BwMgvRwlq61SmknvsVIQj,Rubén Blades,59,1522924
5ixB75BQR3ADoWQkcHQJTs,Gene Autry,50,63955
4oV5EVJ0XFWsJKoOvdRPvl,Guided By Voices,48,166136
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,81,8701701
03hfAxVdAWj7kxDnSG0fLD,The Shadows,45,240886
2ooIqOf4X2uz4mMptXCtie,Neutral Milk Hotel,52,665974
artist_id,artist_name,artist_popularity,artist_followers
47zz7sob9NUcODy0BTDvKx,Sade,70,3484907
5cbutZUQE7SUCA6MsEMbBv,Hank Mobley,45,86990
2Mu5NfyYm8n5iTomuKAEHl,Ms. Lauryn Hill,69,2628650
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,75,11169962
3jVMgT4X7YeuYE4aludcmE,Phil Spector,20,27397
4pejUc4iciQfgdX6OKulQn,Queens of the Stone Age,68,3372276
3lPQ2Fk5JOwGWAF3ORFCqH,John Mellencamp,63,1626771
7C4sUpWGlTy7IANjruj02I,Peter Gabriel,62,1615406
5niRbYTYBUDibifKoFfieF,Missy Misdemeanor Elliott,14,738
4xls23Ye9WR9yy3yYMpAMm,Little Richard,54,892292
3iDD7bnsjL9J4fO298r0L0,Chicago,66,3856843
711MCceyCBcFnzjGY4Q7Un,AC/DC,78,27567082
00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult,61,1485938
5BwMgvRwlq61SmknvsVIQj,Rubén Blades,59,1522924
5ixB75BQR3ADoWQkcHQJTs,Gene Autry,50,63955
4oV5EVJ0XFWsJKoOvdRPvl,Guided By Voices,48,166136
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,81,8701701
03hfAxVdAWj7kxDnSG0fLD,The Shadows,45,240886
2ooIqOf4X2uz4mMptXCtie,Neutral Milk Hotel,52,665974
244fcyNSuyhbRlMGfMbYrO,Badly Drawn Boy,40,128001
4F84IBURUo98rz4r61KF70,The White Stripes,68,2940595
artist_id,artist_name,artist_popularity,artist_followers
244fcyNSuyhbRlMGfMbYrO,Badly Drawn Boy,40,128001
4F84IBURUo98rz4r61KF70,The White Stripes,68,2940595
47zz7sob9NUcODy0BTDvKx,Sade,70,3484907
5cbutZUQE7SUCA6MsEMbBv,Hank Mobley,45,86990
2Mu5NfyYm8n5iTomuKAEHl,Ms. Lauryn Hill,69,2628650
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,75,11169962
7C4sUpWGlTy7IANjruj02I,Peter Gabriel,62,1615406
5niRbYTYBUDibifKoFfieF,Missy Misdemeanor Elliott,14,738
4xls23Ye9WR9yy3yYMpAMm,Little Richard,54,892292
3iDD7bnsjL9J4fO298r0L0,Chicago,66,3856843
711MCceyCBcFnzjGY4Q7Un,AC/DC,78,27567082
00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult,61,1485938
